, time , Madrid_wind_speed , Valencia_wind_deg , Bilbao_rain_1h , Valencia_wind_speed , Seville_humidity , Madrid_humidity , Bilbao_clouds_all , Bilbao_wind_speed , Seville_clouds_all , Bilbao_wind_deg , Barcelona_wind_speed , Barcelona_wind_deg , Madrid_clouds_all , Seville_wind_speed , Barcelona_rain_1h , Seville_pressure , Seville_rain_1h , Bilbao_snow_3h , Barcelona_pressure , Seville_rain_3h , Madrid_rain_1h , Barcelona_rain_3h , Valencia_snow_3h , Madrid_weather_id , Barcelona_weather_id , Bilbao_pressure , Seville_weather_id , Valencia_pressure , Seville_temp_max , Madrid_pressure , Valencia_temp_max , Valencia_temp , Bilbao_weather_id , Seville_temp , Valencia_humidity , Valencia_temp_min , Barcelona_temp_max , Madrid_temp_max , Barcelona_temp , Bilbao_temp_min , Bilbao_temp , Barcelona_temp_min , Bilbao_temp_max , Seville_temp_min , Madrid_temp , Madrid_temp_min , load_shortfall_3h 
 -   , 42 005.13 , 0.67 , level_5 , -   , 0.67 , 74.33 , 64.00 , -   , 1.00 , -   , 223.33 , 6.33 , 42.67 , -   , 3.33 , -   , sp25 , -   , -   , 1 036.33 , -   , -   , -   , -   , 800.00 , 800.00 , 1 035.00 , 800.00 , 1 002.67 , 274.25 , 971.33 , 269.89 , 269.89 , 800.00 , 274.25 , 75.67 , 269.89 , 281.01 , 265.94 , 281.01 , 269.34 , 269.34 , 281.01 , 269.34 , 274.25 , 265.94 , 265.94 , 6 715.67 
 1.00 , 42 005.25 , 0.33 , level_10 , -   , 1.67 , 78.33 , 64.67 , -   , 1.00 , -   , 221.00 , 4.00 , 139.00 , -   , 3.33 , -   , sp25 , -   , -   , 1 037.33 , -   , -   , -   , -   , 800.00 , 800.00 , 1 035.67 , 800.00 , 1 004.33 , 274.95 , 972.67 , 271.73 , 271.73 , 800.00 , 274.95 , 71.00 , 271.73 , 280.56 , 266.39 , 280.56 , 270.38 , 270.38 , 280.56 , 270.38 , 274.95 , 266.39 , 266.39 , 4 171.67 
 2.00 , 42 005.38 , 1.00 , level_9 , -   , 1.00 , 71.33 , 64.33 , -   , 1.00 , -   , 214.33 , 2.00 , 326.00 , -   , 2.67 , -   , sp25 , -   , -   , 1 038.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.00 , 800.00 , 1 005.33 , 278.79 , 974.00 , 278.01 , 278.01 , 800.00 , 278.79 , 65.67 , 278.01 , 281.58 , 272.71 , 281.58 , 275.03 , 275.03 , 281.58 , 275.03 , 278.79 , 272.71 , 272.71 , 4 274.67 
 3.00 , 42 005.50 , 1.00 , level_8 , -   , 1.00 , 65.33 , 56.33 , -   , 1.00 , -   , 199.67 , 2.33 , 273.00 , -   , 4.00 , -   , sp25 , -   , -   , 1 037.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.00 , 800.00 , 1 009.00 , 285.39 , 994.67 , 284.90 , 284.90 , 800.00 , 285.39 , 54.00 , 284.90 , 283.43 , 281.90 , 283.43 , 281.14 , 281.14 , 283.43 , 281.14 , 285.39 , 281.90 , 281.90 , 5 075.67 
 4.00 , 42 005.63 , 1.00 , level_7 , -   , 1.00 , 59.00 , 57.00 , 2.00 , 0.33 , -   , 185.00 , 4.33 , 260.00 , -   , 3.00 , -   , sp25 , -   , -   , 1 035.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 035.33 , 800.00 ,, 285.51 , 1 035.33 , 283.02 , 283.02 , 800.00 , 285.51 , 58.33 , 283.02 , 284.21 , 280.68 , 284.21 , 282.25 , 282.25 , 284.21 , 282.25 , 285.51 , 280.68 , 280.68 , 6 620.67 
 5.00 , 42 005.75 , 1.00 , level_7 , -   , 1.00 , 69.67 , 67.33 , 12.33 , 0.67 , -   , 191.33 , 4.67 , 254.67 , -   , 2.67 , -   , sp25 , -   , -   , 1 035.67 , -   , -   , -   , -   , 800.00 , 800.00 , 1 035.67 , 800.00 ,, 282.08 , 1 013.33 , 277.62 , 277.62 , 800.67 , 282.08 , 72.67 , 277.62 , 284.17 , 274.64 , 284.17 , 277.92 , 277.92 , 284.17 , 277.92 , 282.08 , 274.64 , 274.64 , 6 842.00 
 6.00 , 42 005.88 , 1.00 , level_8 , -   , 1.00 , 83.67 , 63.33 , 16.33 , 1.00 , -   , 210.33 , 3.33 , 276.00 , -   , 2.00 , -   , sp25 , -   , -   , 1 038.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.00 , 800.00 , 1 006.00 , 277.64 , 974.33 , 272.27 , 272.27 , 800.67 , 277.64 , 83.33 , 272.27 , 283.42 , 268.29 , 283.42 , 274.30 , 274.30 , 283.42 , 274.30 , 277.64 , 268.29 , 268.29 , 10 760.33 
 7.00 , 42 006.00 , 1.00 , level_9 , -   , 1.00 , 83.67 , 64.00 , 8.67 , 1.33 , -   , 238.67 , 2.00 , 310.00 , -   , 2.33 , -   , sp25 , -   , -   , 1 037.67 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.00 , 800.00 , 1 005.67 , 276.46 , 974.67 , 271.04 , 271.04 , 800.33 , 276.46 , 82.00 , 271.04 , 282.47 , 266.88 , 282.47 , 272.90 , 272.90 , 282.47 , 272.90 , 276.46 , 266.88 , 266.88 , 10 866.00 
 8.00 , 42 006.13 , 1.00 , level_9 , -   , 1.00 , 86.00 , 63.33 , 5.33 , 1.00 , -   , 258.33 , 1.67 , 338.00 , -   , 3.00 , -   , sp25 , -   , -   , 1 037.33 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.67 , 800.00 , 1 005.33 , 276.15 , 974.33 , 270.54 , 270.54 , 800.00 , 276.15 , 80.67 , 270.54 , 281.73 , 266.23 , 281.73 , 271.78 , 271.78 , 281.73 , 271.78 , 276.15 , 266.23 , 266.23 ,-1 850.33 
 9.00 , 42 006.25 , 1.00 , level_9 , -   , 1.33 , 87.00 , 63.67 , 15.33 , 1.00 , -   , 255.33 , 1.00 , 329.00 , -   , 3.00 , -   , sp25 , -   , -   , 1 038.33 , -   , -   , -   , -   , 800.00 , 800.00 , 1 037.00 , 800.00 , 1 006.33 , 276.45 , 975.33 , 271.66 , 271.66 , 801.00 , 276.45 , 75.33 , 271.66 , 281.80 , 266.88 , 281.80 , 271.67 , 271.67 , 281.80 , 271.67 , 276.45 , 266.88 , 266.88 ,-4 002.33 
 10.00 , 42 006.38 , 1.00 , level_9 , -   , 1.67 , 83.00 , 67.00 , 21.33 , 1.00 , -   , 237.33 , 1.33 , 299.00 , -   , 3.00 , -   , sp25 , -   , -   , 1 039.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 038.00 , 800.00 , 1 007.00 , 280.42 , 976.00 , 278.15 , 278.15 , 801.00 , 280.42 , 64.00 , 278.15 , 283.33 , 268.83 , 283.33 , 275.82 , 275.82 , 283.33 , 275.82 , 280.42 , 268.83 , 268.83 ,-2 893.00 
 11.00 , 42 006.50 , 1.00 , level_9 , -   , 1.00 , 77.33 , 55.67 , 21.00 , 1.00 , -   , 257.00 , 2.00 , 270.33 , -   , 3.00 , -   , sp25 , -   , -   , 1 037.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 038.00 , 800.00 , 1 021.67 , 286.01 , 1 007.00 , 286.39 , 286.39 , 801.00 , 286.01 , 44.33 , 286.39 , 285.47 , 280.62 , 285.47 , 281.63 , 281.63 , 285.47 , 281.63 , 286.01 , 280.62 , 280.62 , 539.33 
 12.00 , 42 006.63 , 1.00 , level_7 , -   , 1.00 , 74.33 , 55.67 , 20.00 , 0.67 , -   , 260.67 , 2.00 , 261.33 , 8.67 , 3.67 , -   , sp25 , -   , -   , 1 036.00 , -   , -   , -   , -   , 800.33 , 800.00 , 1 038.00 , 800.00 ,, 285.71 , 1 037.33 , 284.82 , 284.82 , 801.00 , 285.71 , 46.33 , 284.82 , 285.90 , 282.45 , 285.90 , 282.73 , 282.73 , 285.90 , 282.73 , 285.71 , 282.45 , 282.45 , 65.00 
 13.00 , 42 006.75 , 1.00 , level_7 , -   , 1.00 , 80.67 , 73.67 , 14.33 , 1.00 , -   , 232.67 , 2.00 , 265.67 , 24.33 , 3.00 , -   , sp25 , -   , -   , 1 037.00 , -   , -   , -   , -   , 801.33 , 801.00 , 1 038.00 , 800.00 , 1 021.33 , 282.69 , 1 006.33 , 278.14 , 278.14 , 800.67 , 282.69 , 71.67 , 278.14 , 285.00 , 276.46 , 285.00 , 278.43 , 278.43 , 285.00 , 278.43 , 282.69 , 276.46 , 276.46 ,-1 317.00 
 14.00 , 42 006.88 , 1.00 , level_8 , -   , 1.00 , 89.00 , 68.00 , 5.33 , 1.00 , -   , 200.00 , 2.00 , 285.00 , 8.00 , 3.00 , -   , sp25 , -   , -   , 1 038.00 , -   , -   , -   , -   , 800.00 , 803.00 , 1 037.67 , 800.00 , 1 007.00 , 279.09 , 976.00 , 273.17 , 273.17 , 800.00 , 279.09 , 78.67 , 273.17 , 284.36 , 271.09 , 284.36 , 274.54 , 274.54 , 284.36 , 274.54 , 279.09 , 271.09 , 271.09 , 5 849.33 
 15.00 , 42 007.00 , 1.00 , level_9 , -   , 1.00 , 88.00 , 69.67 , 2.00 , 1.00 , -   , 199.00 , 2.67 , 318.67 , 1.33 , 3.00 , -   , sp25 , -   , -   , 1 036.67 , -   , -   , -   , -   , 800.00 , 801.33 , 1 037.00 , 800.00 , 1 006.67 , 277.63 , 986.67 , 272.21 , 272.21 , 800.00 , 277.63 , 78.67 , 272.21 , 283.39 , 269.15 , 283.39 , 273.15 , 273.15 , 283.39 , 273.15 , 277.63 , 269.15 , 269.15 , 7 125.33 
 16.00 , 42 007.13 , 1.00 , level_8 , -   , 1.33 , 85.00 , 61.00 , 6.67 , 1.00 , -   , 197.00 , 3.00 , 322.00 , -   , 2.00 , -   , sp25 , -   , -   , 1 037.00 , -   , -   , -   , -   , 800.00 , 801.00 , 1 035.67 , 800.00 , 1 005.67 , 276.22 , 976.00 , 271.97 , 271.97 , 800.00 , 276.22 , 80.00 , 271.97 , 282.87 , 267.74 , 282.87 , 272.79 , 272.79 , 282.87 , 272.79 , 276.22 , 267.74 , 267.74 , 623.00 
 17.00 , 42 007.25 , -   , level_8 , -   , 2.00 , 84.00 , 60.00 , 10.67 , 1.00 , -   , 209.33 , 3.00 , 305.00 , -   , 2.00 , -   , sp25 , -   , -   , 1 036.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 035.33 , 800.00 , 1 005.33 , 275.32 , 976.00 , 273.26 , 273.26 , 800.33 , 275.32 , 79.33 , 273.26 , 282.22 , 267.07 , 282.22 , 273.09 , 273.09 , 282.22 , 273.09 , 275.32 , 267.07 , 267.07 ,-2 679.33 
 18.00 , 42 007.38 , 1.33 , level_8 , -   , 2.00 , 87.33 , 66.67 , 8.67 , 1.00 , -   , 222.00 , 2.67 , 314.67 , -   , 2.00 , -   , sp25 , -   , -   , 1 036.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.00 , 800.00 , 1 005.67 , 279.93 , 976.00 , 279.87 , 279.87 , 800.33 , 279.93 , 69.00 , 279.87 , 284.05 , 273.87 , 284.05 , 276.48 , 276.48 , 284.05 , 276.48 , 279.93 , 273.87 , 273.87 ,-1 478.00 
 19.00 , 42 007.50 , 2.00 , level_9 , -   , 2.00 , 88.00 , 68.00 , 3.33 , 1.00 , -   , 228.33 , 2.00 , 306.00 , -   , 2.00 , -   , sp25 , -   , -   , 1 036.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.00 , 800.00 , 1 005.00 , 285.24 , 976.00 , 287.97 , 287.97 , 800.00 , 285.24 , 51.00 , 287.97 , 286.04 , 282.04 , 286.04 , 281.63 , 281.63 , 286.04 , 281.63 , 285.24 , 282.04 , 282.04 , 2 212.67 
 20.00 , 42 007.63 , 1.00 , level_8 , -   , 2.00 , 75.33 , 63.33 , -   , 1.00 , -   , 239.33 , 1.33 , 264.00 , -   , 2.67 , -   , sp25 , -   , -   , 1 032.67 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.00 , 800.00 , 1 015.00 , 287.31 , 1 000.00 , 288.70 , 288.70 , 800.00 , 287.31 , 53.00 , 288.70 , 287.06 , 283.90 , 287.06 , 282.68 , 282.68 , 287.06 , 282.68 , 287.31 , 283.90 , 283.90 , 145.00 
 21.00 , 42 007.75 , 1.00 , level_8 , -   , 2.00 , 84.00 , 77.67 , -   , -   , -   , 269.33 , 1.33 , 217.67 , -   , 1.67 , -   , sp25 , -   , -   , 1 033.00 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.33 , 800.00 , 1 012.67 , 282.28 , 995.00 , 281.32 , 281.32 , 800.00 , 282.28 , 70.33 , 281.32 , 285.96 , 275.65 , 285.96 , 278.35 , 278.35 , 285.96 , 278.35 , 282.28 , 275.65 , 275.65 ,-2 013.00 
 22.00 , 42 007.88 , 0.67 , level_9 , -   , 2.00 , 84.67 , 68.67 , -   , 0.33 , -   , 268.00 , 2.00 , 44.00 , -   , 1.00 , -   , sp25 , -   , -   , 1 027.67 , -   , -   , -   , -   , 800.00 , 800.00 , 1 037.00 , 800.00 , 1 003.00 , 277.77 , 974.67 , 277.06 , 277.06 , 800.00 , 277.77 , 78.67 , 277.06 , 284.73 , 270.72 , 284.73 , 274.07 , 274.07 , 284.73 , 274.07 , 277.77 , 270.72 , 270.72 , 2 435.67 
 23.00 , 42 008.00 , 0.33 , level_9 , -   , 2.00 , 79.33 , 65.00 , 5.33 , 0.67 , -   , 243.67 , 1.33 , 29.67 , -   , 1.67 , -   , sp25 , -   , -   , 1 027.33 , -   , -   , -   , -   , 800.00 , 800.00 , 1 037.00 , 800.00 , 1 002.67 , 276.38 , 973.67 , 275.86 , 275.86 , 800.00 , 276.38 , 77.67 , 275.86 , 285.18 , 269.40 , 285.18 , 272.61 , 272.61 , 285.18 , 272.61 , 276.38 , 269.40 , 269.40 , 2 806.33 
 24.00 , 42 008.13 , 1.00 , level_9 , -   , 2.00 , 81.00 , 63.67 , 31.00 , 1.00 , -   , 229.67 , 1.33 , 7.33 , -   , 3.33 , -   , sp25 , -   , -   , 1 027.33 , -   , -   , -   , -   , 800.00 , 800.00 , 1 036.00 , 800.00 , 1 002.00 , 277.35 , 973.00 , 275.09 , 275.09 , 801.67 , 277.35 , 76.33 , 275.09 , 285.05 , 268.77 , 285.05 , 272.99 , 272.99 , 285.05 , 272.99 , 277.35 , 268.77 , 268.77 , 2 710.00 
